,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
45867|MAZ,8.270613663467946e-10,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1
45565|CTCF,1.9584031160072947e-09,Homo sapiens,CTCF,tf,AG09309,Fibroblast,Skin,1
45832|CTCF,1.1823859085876404e-08,Homo sapiens,CTCF,tf,None,Embryonic Fibroblast,Foreskin,1
46373|CTCF,1.695574649943991e-08,Homo sapiens,CTCF,tf,T47D,Epithelium,Mammary Gland,1
69456|TP53,2.5176365424990007e-08,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
45833|CTCF,2.7372427841268447e-08,Homo sapiens,CTCF,tf,None,Embryonic Fibroblast,Foreskin,1
65084|SP2,2.7904974748678594e-08,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1
36356|POLR2B,4.066735500554374e-08,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1
46014|CTCF,4.7941714144053293e-08,Homo sapiens,CTCF,tf,NHDF-neo,Fibroblast,Skin,1
45858|CTCF,7.206870764870359e-08,Homo sapiens,CTCF,tf,None,Fibroblast,Connective Tissue,1
45561|CTCF,7.911681446349785e-08,Homo sapiens,CTCF,tf,AG04449,Fibroblast,Skin,1
50412|KLF11,9.526641970969983e-08,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1
41283|CTCF,1.508142114993115e-07,Homo sapiens,CTCF,tf,IMR90,Fibroblast,Lung,1
46018|CTCF,1.6025364389025498e-07,Homo sapiens,CTCF,tf,NHLF,Fibroblast,Lung,1
45838|CTCF,1.7338069272044856e-07,Homo sapiens,CTCF,tf,None,Epithelium,Mammary Gland,1
45710|CTCF,2.1153344725741088e-07,Homo sapiens,CTCF,tf,None,Myocyte,Heart,1
45866|MXI1,2.166747567972894e-07,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1
45839|CTCF,2.655221830303041e-07,Homo sapiens,CTCF,tf,None,Epithelium,Mammary Gland,1
45778|MAX,2.68704310350939e-07,Homo sapiens,MAX,tf,HeLa-S3,Epithelium,Cervix,1
3056|CTCF,2.735465440846531e-07,Homo sapiens,CTCF,tf,None,Stromal Cell,Adipose,1
45845|CTCF,2.885833412968043e-07,Homo sapiens,CTCF,tf,HRE,Epithelium,None,1
38196|CTCF,3.0441540591190204e-07,Homo sapiens,CTCF,tf,FB0167P,Fibroblast,None,1
45840|CTCF,3.0804565713285185e-07,Homo sapiens,CTCF,tf,None,Fibroblast,Pulmonary Artery,1
74650|DRAP1,3.406340115442376e-07,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1
5045|CTCF,3.5290999044441343e-07,Homo sapiens,CTCF,tf,GM12892,Lymphoblastoid,Blood,1
45850|CTCF,3.61329617111205e-07,Homo sapiens,CTCF,tf,None,Endothelial Cell,Umbilical Vein,1
69457|TP53,3.8098725223323106e-07,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
