,coefficients,cell_line,cell_type,tissue
41104,2.0096727267422585,,Fibroblast,Periodontal Ligament
40695,1.509288642957918,,Fibroblast,Foreskin
40784,-1.1882990430477036,H1,Embryonic Stem Cell,Embryo
45044,-1.176022897053078,NHDF-Ad,Fibroblast,Skin
44966,0.5874880348424347,,Embryonic Fibroblast,Foreskin
45024,-0.5005726553602923,LHCN-M2,Myoblast,Skeletal Muscle
63927,0.43055364583857075,A549,Epithelium,
44997,-0.40313074640790825,,Fibroblast,Pulmonary Artery
1899,0.36724412105104176,iPS DF 4.7,iPSC,
40603,0.12001485704707471,H7,Embryonic Stem Cell,Embryo
