,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
69456|TP53,1.0346322460201956e-15,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
62637|KLF9,2.0143158080946437e-15,Homo sapiens,KLF9,tf,HEK293,Epithelium,Embryonic Kidney,1
49266|SCML2,2.808491416831191e-15,Homo sapiens,SCML2,tf,293T-Rex,None,None,1
53593|MED1,1.0960698036847362e-14,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
71934|MYC,1.63044309434922e-14,Homo sapiens,MYC,tf,U2OS,None,Bone,1
67808|BRD4,2.7131495827093866e-14,Homo sapiens,BRD4,cr,None,None,None,1
45857|MYC,3.70573769880876e-14,Homo sapiens,MYC,tf,None,Endothelial Cell,Umbilical Vein,1
8112|MYC,3.70573769880876e-14,Homo sapiens,MYC,tf,None,Endothelial Cell,Umbilical Vein,1
70811|SP1,4.43385148086576e-14,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1
33189|MYC,5.659380389314445e-14,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
2090|MYC,6.879175727190548e-14,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
45870|MYC,6.879175727190548e-14,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
56427|MYC,7.069858245016112e-14,Homo sapiens,MYC,tf,None,Epithelium,Breast,1
59542|MYC,7.069858245016112e-14,Homo sapiens,MYC,tf,IMEC,Epithelium,Breast,1
33174|MYC,9.772086558002912e-14,Homo sapiens,MYC,tf,U87,None,Brain,1
67829|BRD4,2.955883038190037e-13,Homo sapiens,BRD4,cr,SUM159R,None,None,1
47601|KLF5,3.0559696646100666e-13,Homo sapiens,KLF5,tf,KATO III,None,Stomach,1
8118|MYC,5.209224311852006e-13,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
39001|BRD4,5.563998914642869e-13,Homo sapiens,BRD4,cr,MM1.S,B Lymphocyte,Blood,1
42774|NFYC,6.080791456872552e-13,Homo sapiens,NFYC,tf,LoVo,None,Colon,1
70955|MYC,6.325329013671738e-13,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,1
32791|MYC,8.328938825779992e-13,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
36362|GTF2B,8.661864671363533e-13,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1
33198|MED1,9.552351912981728e-13,Homo sapiens,MED1,predicted transcription factor,U87,None,Brain,1
52359|MYC,1.0162144688305115e-12,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
53594|MED1,1.0987210872986288e-12,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
55467|NELFA,1.1498476308576345e-12,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1
