,coefficients,cell_line,cell_type,tissue
49978,0.3784571926993612,90-8TL,Schwann Cell,Brain
63923,0.21184490404130166,SK-N-SH,Neuron,
54189,0.1921128276034963,SUM159PT,Epithelium,Mammary Gland
1820,0.18663824328333792,IMR90,Fibroblast,Lung
1822,-0.16891614304586625,IMR90,Fibroblast,Lung
61907,0.09458320545913466,,,
52038,-0.06011655868696967,BT-549,Epithelium,Mammary Gland
3341,0.043470130229915,,Stromal Cell,Adipose
61842,-0.04038129119683064,,,
37928,0.026085834832686793,,Endothelial Cell,Umbilical Vein
61908,-0.02011250075809256,,patient derived xenograft cells,
35423,0.013048581762840725,NHLF,Fibroblast,Lung
61841,0.010401618631714817,,,
