,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
34565|SPI1,2.5111983772172213e-09,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0
52090|TP53,1.4305953487561451e-08,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
69456|TP53,6.562968085779194e-08,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
52092|TP53,1.0842107016441507e-07,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
68823|SPI1,2.955192823879243e-07,Homo sapiens,SPI1,predicted transcription factor,K562,Leukemia Cell,None,1
52091|TP53,3.570958959518575e-07,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
34929|SPI1,7.219402822129794e-07,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
49977|BRD4,1.2315163268257406e-06,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1
2121|RUNX1,1.324751974750309e-06,Homo sapiens,RUNX1,tf,K562,Erythroblast,Bone Marrow,1
76495|BRPF3,1.5577687286008998e-06,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1
37623|MYH11,2.1708361992774136e-06,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1
50367|SPI1,2.2932726633737433e-06,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
55730|GATA1,3.6964407966867824e-06,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1
52681|FOXA2,5.838510634875163e-06,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1
8770|CHD1,6.9770221933363405e-06,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1
46119|SPI1,7.31213337121539e-06,Homo sapiens,SPI1,predicted transcription factor,GM12878,B Lymphocyte,Blood,1
73446|RUNX1,8.028960498188269e-06,Homo sapiens,RUNX1,tf,THP-1,AML cell line,None,1
5884|SPI1,9.042717818400203e-06,Homo sapiens,SPI1,predicted transcription factor,THP-1,Monocyte,Blood,1
46272|SPI1,9.231032891607608e-06,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
57092|HEXIM1,1.1331388008722056e-05,Homo sapiens,HEXIM1,other,HCT-116,None,Colon,1
69457|TP53,1.2481530565502851e-05,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
71136|BRD4,1.6224331804522513e-05,Homo sapiens,BRD4,cr,MCF-10A,Epithelium,None,1
8482|KAT7,1.7056955480015038e-05,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1
55577|SPI1,2.1865433313815335e-05,Homo sapiens,SPI1,predicted transcription factor,None,B Lymphocyte,None,1
73714|AFF1,2.24113952442945e-05,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1
55739|SPI1,2.2522128065853565e-05,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
47329|FOXA1,2.6872381323496375e-05,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
70812|SP1,2.7136036604950383e-05,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1
50365|SPI1,3.3433834106038846e-05,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
68977|PR,3.4916455909622435e-05,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1
67926|SPI1,3.525427033931213e-05,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,Blood,1
73712|AFF1,3.788822909425799e-05,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1
48314|SPI1,4.012826805157082e-05,Homo sapiens,SPI1,predicted transcription factor,GM12878,B Lymphocyte,Blood,1
53301|FLI1,4.090236466169177e-05,Homo sapiens,FLI1,tf,TSU-1621-MT,None,None,1
75559|BRD4,4.414216120437839e-05,Homo sapiens,BRD4,cr,None,None,Retina,1
56256|AR,4.414216120437839e-05,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
70093|TET2,4.606957627609089e-05,Homo sapiens,TET2,cr,293T,None,None,1
8818|PHF8,4.8763332396900945e-05,Homo sapiens,PHF8,cr,H1,Embryonic Stem Cell,Embryo,1
45239|PHF8,4.8763332396900945e-05,Homo sapiens,PHF8,cr,H1,Embryonic Stem Cell,Embryo,1
73716|KMT2A,4.945964159478165e-05,Homo sapiens,KMT2A,not sure,SEM,B Lymphocyte,None,1
55738|SPI1,5.258688669743685e-05,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
48755|CBX8,5.3586056348329247e-05,Homo sapiens,CBX8,cr,PC-3,Epithelium,Prostate,1
47328|FOXA1,5.4603120232177444e-05,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
73713|AFF1,5.803580154867949e-05,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1
73699|MED1,5.9687853518749905e-05,Homo sapiens,MED1,predicted transcription factor,SEM,B Lymphocyte,None,1
42637|CREBBP,6.0248321485239895e-05,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1
67764|SPI1,6.109833502340763e-05,Homo sapiens,SPI1,predicted transcription factor,None,Hematopoietic stem and progenitor cell,Bone Marrow,1
8800|SAP30,6.58259765687324e-05,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1
1741|FOS,6.674993785567191e-05,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1
43684|KDM4C,6.706063083298767e-05,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1
41574|BRD1,7.459400326883225e-05,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1
67748|GATA2,7.811192746769848e-05,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1
55895|T,7.883399767347616e-05,Homo sapiens,T,tf,None,Fibroblast,None,1
5679|FOXA1,8.253954569229347e-05,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1
70806|MYC,8.29189801336725e-05,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,0
50877|SPI1,8.601407149067366e-05,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1
1309|PHF8,8.640851002583678e-05,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1
45426|CHD1,8.640851002583678e-05,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1
70752|MYC,8.680464928607918e-05,Homo sapiens,MYC,tf,LNCaP,None,LNCaP cells,1
