,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
67456|E2F1,0.00000000000000000000000000000000004977117712660517685132976954181971879568088260299607524911924358749166092156773116167464694006293003221304933283180578386771009448530625946555957771440549268824556643912371761547489806023104112134607,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
70962|E2F1,0.0000000000000000000000000000000085460744660708951055091133323795625478397957429767206242431045101874413118743126334419506404530819536236981996188659849514280790981376085105476601783005978867218681976779514618686633504160745804696582,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
67458|E2F1,0.00000000000000000000000000000014801160864604748506215696422336587924841331378743318950136838644565795991491973728160010896991155654100358993240079069238121823455091677920575897996388391580039739513858202609908899144993149903992287,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
45752|E2F4,0.00000000000000000000000000000072229783156464003988931853354235526402367143788592755639069742070014488948512720485887906074640974269092223253645934891301957424218461190926385378992697478504629633435595169348677919269609185823561621,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
2282|E2F1,0.0000000000000000000000000000043219660820716898267646921576945204810081174724180240664450640943051645635173055863537376354037164928466206693982121030038053586625157952581698009746606924095772744717921566493887473124303566110369398,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
1874|RBL2,0.000000000000000000000000000005841885398020901670043834916858302048024273248594250218087274003214627667762451156760315221191882185388027073729882369406843952594557292967257758801910109240547641730076759278378456818847338506745732,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
67454|E2F1,0.000000000000000000000000000014318232634227657265911526128626533682148059946213272796469208352701803831438953716599115078980949393591321642224415362662336200121205101085887198765982268572453833457596037065343578584286943290427477,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
45754|E2F1,0.000000000000000000000000000034055353045786731579020120936698791550715598752595327664416492257809356085573456448713035037681766801056526699885251129951958040484613641957285829249132383613019406948176519666733964882872864460142531,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
70953|E2F1,0.000000000000000000000000000034560639973247083474822063441511902365565047633109313049300820437370744879224921367354223584364140792527755644423573600721286443080124258936569681696098099070268772179488849848874970647704848654955087,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
67457|E2F1,0.00000000000000000000000000011666417006431748972070484292276593683575395777185050576325725513436979135640864987642861441972224099101164968301962537339486319940092977482290853340192498562676691594279796401768387856051448643270033,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
45628|MYC,0.0000000000000000000000000001428262448748556496190130321708383515668927921473433399311522702871536528824111060227666866260008998722174595149122058371089529505126380706505245118419658755938278471967312097625778511687725729520986,Homo sapiens,MYC,tf,GM12878,B Lymphocyte,Blood,1
45857|MYC,0.00000000000000000000000000017122072092741928183010388260395702908143462507609595602891050079915385765569636874175176477385666935715140651264787454595138167159756386744496324457673636751431403648849663073468612960984245761551626,Homo sapiens,MYC,tf,None,Endothelial Cell,Umbilical Vein,1
8112|MYC,0.00000000000000000000000000017122072092741928183010388260395702908143462507609595602891050079915385765569636874175176477385666935715140651264787454595138167159756386744496324457673636751431403648849663073468612960984245761551626,Homo sapiens,MYC,tf,None,Endothelial Cell,Umbilical Vein,1
44328|E2F1,0.00000000000000000000000000018533534366460660656630593146804575717193571430767434075439762517264657132195038137524421268530604175770495005659663792025173091540127802481984332284381583224780414423323816713449998506627186460127406,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
49852|WDR5,0.0000000000000000000000000013632248147059431678117431875873294607456150984899120912397988002180938684525908985666739825043856377093268547268731568687896152625774340044722219483529990025111047991539111327528017585638179193016091,Homo sapiens,WDR5,cr,SK-N-MC,None,Brain,1
56252|E2F1,0.0000000000000000000000000014141546341113284942462515287046316769437532171653670756612431341388072204840544441982141475769438074236887203089035630282065210789099051199391648235876751871588071309760677256776972060080883603135865,Homo sapiens,E2F1,tf,None,Epithelium,Mammary Gland,1
46077|TAF1,0.00000000000000000000000000144020517638964471659581966621804084613537611847273287213988271603393785058071117387337972340972163762061980053562837234863177087658179413358999712867001733433647764836373876480313322873858548545703,Homo sapiens,TAF1,tf,A549,Epithelium,Lung,1
1212|E2F1,0.0000000000000000000000000014661930196080372010018831205685723129812834721384743665500238150632573549801275361524714142235292008525224099833965286489343039503948271788372781724740744870604594510873205094224019246143490241946125,Homo sapiens,E2F1,tf,HeLa,Epithelium,Cervix,1
3225|E2F4,0.0000000000000000000000000017998978454239727104555404027078642335586129535215036880927482083183289172758209768062681994121820731573425511033858861221287850810445036583577201880709830049953314711268995959913593877999041663200843,Homo sapiens,E2F4,tf,None,Adipocyte,Adipose,1
44333|E2F1,0.0000000000000000000000000038852401594849385205524667610911813669423597259634530890624523817444391052998664312790767001726738763238584292092447548191043751336819548268924644453939271084578516601148462527138887639303824937167154,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
55465|NELFA,0.0000000000000000000000000062816421038067616090879812235089023368073684922680494189676942476952110460573372287259042581308981490191634307527513585794187880843961877291662558086392101594693492601021413026956040182991499314880342,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1
38654|NFATC1,0.0000000000000000000000000079418989835133705532873706315029186016683872810143565441053511478267147472785880048611405173984555939869413967627406193607240268175538240904764769993542271450607518828613330611190574912464646154746422,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1
1312|PHF8,0.0000000000000000000000000093922332555953417248154587652150759006156664029061723340454681011106687442956726796876043213226345961428424332882190702308853447066877839259225939608669458384868298236469540529796046873083850877763178,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0
43066|BRD4,0.000000000000000000000000016229186605725236071511739089952773604048319172784466086429771154330452952805282349192188201330379487972086766669625203370636737882572642598328584514839168061071936043684391528113299668964456960558712,Homo sapiens,BRD4,cr,HEK293T,Epithelium,Embryonic Kidney,1
77535|TFDP1,0.000000000000000000000000022083310716181626517634187523423480774148891169830898939838316953718729128055918270379584497059241734125719546016937187079526484598232775879074357815984596685382312692180716225882324022376279153020624,Homo sapiens,TFDP1,tf,MM1.S,B Lymphocyte,Blood,1
71934|MYC,0.000000000000000000000000033582213805675624033252417515141651569449665182219704010919329996674235289328205439861743424187419666818120444982771502790471581729336875578272088941786708409827039124390585242627687725377716976602729,Homo sapiens,MYC,tf,U2OS,None,Bone,1
75924|E2F1,0.000000000000000000000000054854160613530731817685608732178956644499257973930663414365889280914387842926137879941902374233382951746027422607480842786415408214440930906561857857526050975602107252512300650400199903752656701085727,Homo sapiens,E2F1,tf,MM1.S,Multiple myeloma cell,None,1
56961|GTF2B,0.000000000000000000000000079296732453045272071339810156675519153233973004242967074628159458936612488091889773266547785169624181912608787836743721573356235470191243864279693945313243235011467169506845408544130165761431277155721,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1
70568|MYC,0.000000000000000000000000080692070502442052678165729520220158217157625065653117781758394873141394649570580325560600591186247262362196941808671192516522021438649258359955622197539831339721587439482994684628471836738342307099207,Homo sapiens,MYC,tf,U2OS,None,Bone,1
70964|MYC,0.00000000000000000000000012296784969395965928555943853553878248293225130829821956524375674508904641882421380111408544579439537590365473314518480419707384684301654321368871723278099890108569943538326590986796014072865097801169,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,1
43081|CDK9,0.0000000000000000000000001748597392579698427979627914496772473726338088702034021444858325172511672781669779702110638262190043077210101670654999146161234255982245562196554989606469147546023124733571245237142717795991766128295,Homo sapiens,CDK9,tf,HEK293T,Epithelium,Embryonic Kidney,1
32791|MYC,0.00000000000000000000000026330853036856341646292426416978109945541240330571305759094474770505444291716423502480384911252530085383039944358131251525546791913200472568161562379486300262558922814061252836459917745030817005488442,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
2684|PHF8,0.00000000000000000000000040126054115716178591526740578378067180050543989613163060792521753817830298782942154865021001241183330600509999163284135396645251457457537124620336607642901622562611438003836040030836518886433638278985,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1
1314|PHF8,0.00000000000000000000000043087430042983593977192737257599468466751791026510666585199060029864602852132319415673993379720069672009987548146790212596477123162817431720264948989572583576794279052837995140597279940589878282165951,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1
67455|E2F1,0.00000000000000000000000044861495880887937999073121056329063419358320120878737075308560741961092759558999844216836459416548955095400529413738276335243262794461474774230605149071388504068033648380108299535283771395055540263848,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
44332|E2F1,0.00000000000000000000000046427261173680149006341210154831838910555938754779008398201270015489585209697442984110859217341834238991310809947955552159220699160806346941006766295515088567176919114261236145729080222693706379461591,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
49877|WDR5,0.00000000000000000000000067471117462599547107027255574565673437955464356177959975143426394254555636655188428283793659433326249721537195814565255206906804081024694405963882706409014757045718243668253532129985005398894135344278,Homo sapiens,WDR5,cr,A673,Polygonal,Muscle,1
44329|E2F1,0.00000000000000000000000091268983486645073678549689405009753484652720957221902732362619889209521562561135389995175096563590247028581497980177139032614729116322510001222541601428694415516658622482881761921789901661448384877416,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
