,coefficients,cell_line,cell_type,tissue
63923,0.30532725684907414,SK-N-SH,Neuron,
3341,0.15678874540834975,,Stromal Cell,Adipose
61913,0.15337575903488626,MDA-MB-231,Epithelium,Mammary Gland
43073,0.13752777043091508,HEK293T,Epithelium,Embryonic Kidney
53033,-0.07831174950440611,FT246,Epithelium,Fallopian tube secretory
49880,0.033288179472816315,A673,,
1820,0.03011358578978893,IMR90,Fibroblast,Lung
43743,0.0213576687067294,KOPT-K1,T Lymphocyte,Blood
61914,0.008003130375320312,MDA-MB-231,Epithelium,Mammary Gland
57449,-0.0024870391594212942,K562,Erythroblast,Bone Marrow
