,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
5968|MYC,1.5942803267773715e-28,Homo sapiens,MYC,tf,BL-41,B Lymphocyte,Blood,0
33189|MYC,5.396395182849365e-28,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
33904|BRD4,6.683552408594295e-28,Homo sapiens,BRD4,cr,None,Plasma Cell,None,1
55666|PAF1,3.1440719377673206e-27,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1
53347|CDK9,4.44714124637477e-27,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1
55465|NELFA,8.418207039568954e-27,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1
45754|E2F1,9.933535375737323e-27,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
45750|E2F1,1.0064091028990638e-26,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
71934|MYC,1.2562587811519592e-26,Homo sapiens,MYC,tf,U2OS,None,Bone,1
70964|MYC,4.853872158810822e-26,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,1
33162|MAX,4.9591717776259466e-26,Homo sapiens,MAX,tf,P493-6,B cell lymphoma,None,1
56353|CDK8,6.810048128724711e-26,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1
52091|TP53,9.146077648740913e-26,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
45745|MYC,1.3194852739400898e-25,Homo sapiens,MYC,tf,HeLa-S3,Epithelium,Cervix,1
53346|CDK9,1.388585469834594e-25,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1
41481|E2F1,2.1318156863123778e-25,Homo sapiens,E2F1,tf,OCI-Ly1,B cell lymphoma,Bone Marrow,1
8118|MYC,2.271632562841849e-25,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
51750|FOXP1,2.557371687742732e-25,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1
33195|MYC,3.2263094365749e-25,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
69815|NELFE,3.585125466258201e-25,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
33174|MYC,5.19233119573492e-25,Homo sapiens,MYC,tf,U87,None,Brain,1
37057|FLI1,7.172379774652499e-25,Homo sapiens,FLI1,tf,U937,None,Pleura,1
37056|FLI1,9.4929601149617e-25,Homo sapiens,FLI1,tf,U937,None,Pleura,1
69816|NELFE,1.0022722648585109e-24,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
46008|MYC,1.330924609457937e-24,Homo sapiens,MYC,tf,MCF-10A,Epithelium,Breast,1
49949|KLF9,1.3933072032097336e-24,Homo sapiens,KLF9,tf,GBM1A,Glioblastoma Stem Cell,None,1
40217|BRD4,1.5851270618319953e-24,Homo sapiens,BRD4,cr,U87,None,Brain,1
69870|BRD4,1.6050238434989724e-24,Homo sapiens,BRD4,cr,None,Th1,None,1
46011|MYC,1.6184256013308165e-24,Homo sapiens,MYC,tf,NB4,Promyelocytic cell,Blood,1
38585|TAF3,1.631938197973246e-24,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1
44312|E2F1,2.2372299712550165e-24,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
71933|MYC,2.246521738778882e-24,Homo sapiens,MYC,tf,U2OS,None,Bone,1
55466|NELFA,2.3610493423854473e-24,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,0
52092|TP53,3.6144149200781676e-24,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
46345|TAF1,3.720308952101942e-24,Homo sapiens,TAF1,tf,SK-N-SH,Neuroblastoma cell,Brain,1
71936|MYC,4.902739298664665e-24,Homo sapiens,MYC,tf,U2OS,None,Bone,1
56961|GTF2B,4.943241404921949e-24,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1
32814|MAX,5.04595217205306e-24,Homo sapiens,MAX,tf,P493-6,B cell lymphoma,None,1
52358|MYC,5.129640190484581e-24,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
62934|BCL3,6.222163223803035e-24,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1
45752|E2F4,7.15327005345577e-24,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
70955|MYC,7.637947082320028e-24,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,1
7060|YY1,7.73237899180408e-24,Homo sapiens,YY1,tf,GM12878,B Lymphocyte,Blood,1
73508|BRD4,8.461120972344223e-24,Homo sapiens,BRD4,cr,SUM159PT,mammary carcinoma cell line,Breast,1
69809|NELFE,9.070463708472136e-24,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
39460|FOXM1,9.883461795815794e-24,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1
2280|E2F1,1.0211807711465228e-23,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
50878|SPI1,1.3312426220191903e-23,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1
74348|NEUROD1,1.426675596270631e-23,Homo sapiens,NEUROD1,tf,D-341,None,None,1
58640|MED1,1.4383391502934056e-23,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1
69813|NELFE,1.485945041734244e-23,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
40216|MED1,1.5666534330930845e-23,Homo sapiens,MED1,predicted transcription factor,None,B Lymphocyte,Blood,1
45714|TCF7L2,1.7555231399935908e-23,Homo sapiens,TCF7L2,tf,HCT-116,None,Colon,1
49493|CDK7,1.927397266410448e-23,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1
38115|MYC,2.1768345656509104e-23,Homo sapiens,MYC,tf,HeLa,Epithelium,Cervix,1
45849|MAX,2.2853318080573312e-23,Homo sapiens,MAX,tf,None,Endothelial Cell,Umbilical Vein,1
46221|TAF1,2.4285090824719015e-23,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1
69868|MED1,2.9609946527551567e-23,Homo sapiens,MED1,predicted transcription factor,MHH-MED-1,Th1,None,1
33175|MAX,3.1972515165007496e-23,Homo sapiens,MAX,tf,P493-6,B cell lymphoma,None,1
8112|MYC,3.4106101863942274e-23,Homo sapiens,MYC,tf,None,Endothelial Cell,Umbilical Vein,1
45857|MYC,3.4106101863942274e-23,Homo sapiens,MYC,tf,None,Endothelial Cell,Umbilical Vein,1
46269|YY1,4.0238432588262525e-23,Homo sapiens,YY1,tf,K562,Erythroblast,Bone Marrow,1
46106|TAF1,4.138940990600037e-23,Homo sapiens,TAF1,tf,ECC-1,Epithelium,Endometrium,1
46162|TAF1,4.5772478200951583e-23,Homo sapiens,TAF1,tf,GM12892,Lymphoblastoid,Blood,1
36362|GTF2B,4.8619704213705574e-23,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1
67829|BRD4,6.650229996649471e-23,Homo sapiens,BRD4,cr,SUM159R,None,None,1
43305|CDK6,6.95000232851194e-23,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1
46012|MAX,7.034054413809774e-23,Homo sapiens,MAX,tf,NB4,Promyelocytic cell,Blood,1
63885|BCL3,7.263144305861677e-23,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1
50877|SPI1,7.559916372488844e-23,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1
69814|NELFE,7.868686344448037e-23,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
44316|E2F1,7.900241535482495e-23,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
45778|MAX,8.288815477542179e-23,Homo sapiens,MAX,tf,HeLa-S3,Epithelium,Cervix,1
2684|PHF8,1.109489623667258e-22,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1
44320|E2F1,1.109489623667258e-22,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
45989|MYC,1.1685152368247157e-22,Homo sapiens,MYC,tf,MCF-7,Epithelium,Breast,1
33888|CDK9,1.1731823220177737e-22,Homo sapiens,CDK9,tf,None,Plasma Cell,None,1
44313|E2F1,1.2015747887265388e-22,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
49481|RPE,1.265445795154746e-22,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1
74202|BRD2,1.3116212357599196e-22,Homo sapiens,BRD2,predicted chromatin regulator,None,None,Pontine,1
58805|MYB,1.3648849443132498e-22,Homo sapiens,MYB,tf,None,Th1,None,1
74347|NEUROD1,1.3867848984844906e-22,Homo sapiens,NEUROD1,tf,D-341,None,None,1
2094|NFYA,1.397864930519834e-22,Homo sapiens,NFYA,tf,K562,Erythroblast,Bone Marrow,1
45870|MYC,1.5439834973381518e-22,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
2090|MYC,1.5439834973381518e-22,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
69874|RELA,1.612971603991714e-22,Homo sapiens,RELA,tf,None,Th1,None,1
55665|PAF1,1.6388073260526565e-22,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1
70561|MYC,1.7187971699397289e-22,Homo sapiens,MYC,tf,U2OS,None,Bone,1
