,coefficients,cell_line,cell_type,tissue
61914,0.25898026861374773,MDA-MB-231,Epithelium,Mammary Gland
3339,0.15976516398995563,,Stromal Cell,Adipose
61913,0.1321713102037889,MDA-MB-231,Epithelium,Mammary Gland
50354,0.12770099910321855,IMR90,Fibroblast,Lung
39046,0.12746688542741694,A549,Epithelium,Lung
62161,0.11953690890231758,PANC1,,
36621,0.05094657409681905,,Epithelium,Mammary Gland
41930,0.042233272753106794,MDA-MB-231,Epithelium,Mammary Gland
44385,0.030599367455810128,,Endothelial Cell,Umbilical Vein
33473,-0.020037222583895124,,Endothelial Cell,Umbilical Vein
