,coefficients,cell_line,cell_type,tissue
40722,-1.1646943853554423,,,Fetal Skin Biceps Right
41106,0.797133656927691,,Fibroblast,Umbilical Vein
45024,-0.7248894876609008,LHCN-M2,Myoblast,Skeletal Muscle
40694,0.6587230588926926,H1,Embryonic Stem Cell,Embryo
44999,0.6375474661820905,,Fibroblast,Periodontal Ligament
40522,0.5865239703666768,U87MG,Glial Cell,Brain
50401,0.488522134969016,hMADS-3,Adipocyte,Adipose
49066,0.4413055042372682,,Macrophage,Blood
64337,0.1151666829203577,K562,Erythroblast,
50400,0.09974964795905678,hMADS-3,Adipocyte,Adipose
